ID,Text,Sentiment
1,"A total waste of money, do not buy this.",Negative
2,"I absolutely love this product, it works great!",Positive
3,"This was a terrible experience, I regret it completely.",Negative
4,"I absolutely love this product, it works great!",Positive
5,"The product is average, works as expected.",Neutral
6,"A total waste of money, do not buy this.",Negative
7,"The product is average, works as expected.",Neutral
8,"The product is average, works as expected.",Neutral
9,"I am extremely disappointed, this product is awful.",Negative
10,"Neither good nor bad, just a normal experience.",Neutral
11,This is the best purchase I have made in a long time.,Positive
12,Highly recommended! Exceeded my expectations.,Positive
13,"It's okay, nothing special but not bad either.",Neutral
14,"The product is average, works as expected.",Neutral
15,This is the best purchase I have made in a long time.,Positive
16,"I am extremely disappointed, this product is awful.",Negative
17,"Decent quality, but nothing extraordinary.",Neutral
18,"It's okay, nothing special but not bad either.",Neutral
19,"I am extremely disappointed, this product is awful.",Negative
20,"An average experience, not much to say.",Neutral
21,"The service was outstanding, I am very satisfied.",Positive
22,"Fantastic quality, I will definitely buy again.",Positive
23,"Fantastic quality, I will definitely buy again.",Positive
24,This is the best purchase I have made in a long time.,Positive
25,"An average experience, not much to say.",Neutral
26,"This was a terrible experience, I regret it completely.",Negative
27,Highly recommended! Exceeded my expectations.,Positive
28,"Worst decision ever, I would not recommend this.",Negative
29,"Worst decision ever, I would not recommend this.",Negative
30,"Neither good nor bad, just a normal experience.",Neutral
31,"Worst decision ever, I would not recommend this.",Negative
32,"Fantastic quality, I will definitely buy again.",Positive
33,"The service was outstanding, I am very satisfied.",Positive
34,"Worst decision ever, I would not recommend this.",Negative
35,"The product is average, works as expected.",Neutral
36,"I am extremely disappointed, this product is awful.",Negative
37,"I am extremely disappointed, this product is awful.",Negative
38,"An average experience, not much to say.",Neutral
39,"This was a terrible experience, I regret it completely.",Negative
40,"This was a terrible experience, I regret it completely.",Negative
41,"Fantastic quality, I will definitely buy again.",Positive
42,"The service was outstanding, I am very satisfied.",Positive
43,"Neither good nor bad, just a normal experience.",Neutral
44,Highly recommended! Exceeded my expectations.,Positive
45,"I absolutely love this product, it works great!",Positive
46,"An average experience, not much to say.",Neutral
47,This is the best purchase I have made in a long time.,Positive
48,"Worst decision ever, I would not recommend this.",Negative
49,"I absolutely love this product, it works great!",Positive
50,"I absolutely love this product, it works great!",Positive
51,"The service was outstanding, I am very satisfied.",Positive
52,"Worst decision ever, I would not recommend this.",Negative
53,"The service was outstanding, I am very satisfied.",Positive
54,"Neither good nor bad, just a normal experience.",Neutral
55,"Neither good nor bad, just a normal experience.",Neutral
56,Highly recommended! Exceeded my expectations.,Positive
57,"Worst decision ever, I would not recommend this.",Negative
